
Device,Port,In,Out,Description
nassw01,25GE1/0/28,0,2.58Kbps,CESX11-21.iSCSI1
nassw01,25GE1/0/32,0,2.58Kbps,D2.CONTESX-P03.iSCSI1
nassw01,25GE1/0/31,24bps,2.58Kbps,D2.XEN-VDI-P03.iSCSI1
nassw01,25GE1/0/20,200bps,2.38Kbps,D7.NIEHOST13.Stor_3
nassw01,25GE1/0/30,2.11Kbps,3.9Kbps,D2.XEN-VDI-P01.iSCSI1
nassw01,25GE1/0/6,3.22Kbps,64.6Kbps,D2.XEN-VDI-P02.iSCSI1
nassw01,25GE1/0/25,11.46Kbps,11.58Kbps,D7.NIEHOST11.Stor_3
nassw01,25GE1/0/10,34.42Kbps,331.7Kbps,D2.NASSTORE-P04.iSCSI1
nassw01,25GE1/0/7,40.5Kbps,40.15Kbps,D1.NASSTORE-P01.iSCSI1
nassw01,25GE1/0/12,51.07Kbps,45.59Kbps,D2.NASSTORE-P06.iSCSI1
nassw01,25GE1/0/9,76.73Kbps,363.4Kbps,D2.NASSTORE-P03.iSCSI1
nassw01,25GE1/0/11,368.34Kbps,371.96Kbps,D2.NASSTORE-P05.iSCSI1
nassw01,25GE1/0/15,552.03Kbps,1.59Mbps,D2.NASSTORE-P09.iSCSI1
nassw01,25GE1/0/8,1Mbps,390.85Kbps,D1.NASSTORE-P02.iSCSI1
nassw01,25GE1/0/19,1.99Mbps,11.69Kbps,D8.NIEHOST12.Stor_3
nassw01,25GE1/0/27,9.3Mbps,5.75Mbps,D8.NIEHOST14.Stor_3
nassw01,25GE1/0/33,12.84Mbps,6.06Mbps,D2.DESX16-21.iSCSI1
nassw01,25GE1/0/37,16.05Mbps,7.95Mbps,D2.DESX14-21.iSCSI1
nassw01,25GE1/0/23,16.16Mbps,13.46Mbps,DESX12-21.iSCSI1
nassw01,25GE1/0/24,61.87Mbps,4.21Mbps,DESX11-21.iSCSI1
nassw01,25GE1/0/35,69.42Mbps,25.32Mbps,D2.CESX16-21.iSCSI1
nassw01,25GE1/0/36,83.4Mbps,13.23Mbps,D2.CESX15-21.iSCSI1
nassw01,25GE1/0/22,87.3Mbps,16.67Mbps,D2.CESX13-21.iSCSI1
nassw01,25GE1/0/17,111.4Mbps,393.96Mbps,D2.NASSTORE-P11.iSCSI1
nassw01,25GE1/0/21,124.76Mbps,25.13Mbps,D2.CESX14-21.iSCSI1
nassw01,25GE1/0/26,166.3Mbps,103.1Mbps,CESX12-21.iSCSI1
nassw01,25GE1/0/16,280.22Mbps,456.89Mbps,D2.NASSTORE-P10.iSCSI1
nassw01,25GE1/0/14,365.48Mbps,676.79Mbps,D1.NASSTORE-P08.iSCSI1
nassw01,25GE1/0/18,383.06Mbps,506.34Mbps,D2.NASSTORE-P12.iSCSI1
nassw01,25GE1/0/38,393.23Mbps,219Mbps,D2.DESX13-21
nassw01,25GE1/0/34,623.1Mbps,236.7Mbps,D2.DESX15-21
nassw01,25GE1/0/13,822.93Mbps,1.37Gbps,D1.NASSTORE-P07.iSCSI1
